"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TUBA1B",1.42842953563859e-49,0.579719999099536,1,0.995,1.98166029479142e-45,"S/G2","TUBA1B"
"SHCBP1",1.51217064998601e-49,0.401988678359556,0.405,0.108,2.09783434272559e-45,"S/G2","SHCBP1"
"RFC2",2.68069193957209e-49,0.497482373643328,0.556,0.196,3.71892392776836e-45,"S/G2","RFC2"
"ORC6",3.18292047977729e-49,0.503502570329152,0.532,0.183,4.41566558159503e-45,"S/G2","ORC6"
"TEX30",8.60573937474651e-49,0.549926907420504,0.64,0.269,1.19387422345858e-44,"S/G2","TEX30"
"CDCA3",1.15690474583698e-48,0.388881139340109,0.544,0.168,1.60497395389964e-44,"S/G2","CDCA3"
"H2AFX",7.13283600384002e-48,0.515949282658995,0.653,0.263,9.89538338812726e-44,"S/G2","H2AFX"
"KIF15",2.7079546708171e-46,0.311038739044711,0.281,0.055,3.75674551482456e-42,"S/G2","KIF15"
"KIF23",9.12961819128802e-45,0.419515632806078,0.417,0.121,1.26655193167739e-40,"S/G2","KIF23"
"RMI2",9.99128963028166e-45,0.407943812369757,0.462,0.146,1.38609161040898e-40,"S/G2","RMI2"
"SLC25A5",1.11392932450229e-44,0.573308039714477,0.976,0.907,1.54535415188203e-40,"S/G2","SLC25A5"
"KIF20B",1.90936939220654e-44,0.450046545051586,0.538,0.189,2.64886815780813e-40,"S/G2","KIF20B"
"PSIP1",3.50882493249789e-44,0.659920207830677,0.834,0.519,4.86779282885433e-40,"S/G2","PSIP1"
"EXOSC8",4.10555567069876e-44,0.556632717685634,0.767,0.402,5.69563738196039e-40,"S/G2","EXOSC8"
"WDR34",4.45004268598379e-44,0.581860090097699,0.752,0.389,6.17354421826532e-40,"S/G2","WDR34"
"STRA13",6.78287025487444e-44,0.598062200016619,0.831,0.487,9.40987590458731e-40,"S/G2","STRA13"
"SNRPB",2.84625302812902e-43,0.596135098341525,0.946,0.741,3.94860682592338e-39,"S/G2","SNRPB"
"SGOL2",5.48058837997055e-43,0.390033028355988,0.483,0.156,7.60322025953315e-39,"S/G2","SGOL2"
"ATAD2",5.58683233786611e-43,0.462998616980697,0.423,0.132,7.75061250232165e-39,"S/G2","ATAD2"
"DBF4",5.65220078929202e-43,0.476607343266091,0.523,0.19,7.84129815498482e-39,"S/G2","DBF4"
