"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"OIP5",3.54366841661519e-89,0.56701993192838,0.476,0.087,4.91613119437026e-85,"G2/M","OIP5"
"DBF41",3.13408532572096e-87,0.767059529985548,0.639,0.178,4.34791657237269e-83,"G2/M","DBF4"
"CASC51",1.16821289660698e-86,0.583634645779276,0.467,0.086,1.62066175146286e-82,"G2/M","CASC5"
"TTK",2.01256345573432e-86,0.477743672797729,0.348,0.043,2.79202928214022e-82,"G2/M","TTK"
"KIF221",1.41612365795692e-85,0.688391891632769,0.608,0.156,1.96458835068363e-81,"G2/M","KIF22"
"CENPW1",1.54661346771536e-85,0.897887015233886,0.781,0.291,2.14561686376152e-81,"G2/M","CENPW"
"PRR11",1.62840869715199e-84,0.508338775023346,0.426,0.071,2.25909138555896e-80,"G2/M","PRR11"
"ANLN1",6.45835746919685e-82,0.675114288405906,0.599,0.156,8.95967931701679e-78,"G2/M","ANLN"
"DEPDC1B",8.80773055058471e-82,0.416349542609231,0.335,0.042,1.22189645928262e-77,"G2/M","DEPDC1B"
"DTYMK2",5.96514204436063e-81,0.91235806500861,0.972,0.671,8.27544155814151e-77,"G2/M","DTYMK"
"UBE2T1",6.68116146160949e-80,0.812157427712722,0.812,0.292,9.26877529569084e-76,"G2/M","UBE2T"
"CDC25B",2.71085933462397e-78,0.504408929706936,0.461,0.091,3.76077515492383e-74,"G2/M","CDC25B"
"CDKN2C1",3.34965388238556e-77,0.741892754400368,0.633,0.194,4.64697483103349e-73,"G2/M","CDKN2C"
"ECT21",1.05142775837179e-76,0.596515812089323,0.473,0.101,1.45864572918919e-72,"G2/M","ECT2"
"HN1",8.95199517307264e-76,0.854784965414353,0.997,0.946,1.24191029036037e-71,"G2/M","HN1"
"BUB1B",8.50537248497674e-73,0.406805101840936,0.323,0.045,1.17995032484082e-68,"G2/M","BUB1B"
"PHF191",1.79696072865106e-72,0.594931088938254,0.605,0.173,2.49292361885762e-68,"G2/M","PHF19"
"TUBA1B2",1.10384977735732e-66,0.698817366344017,1,0.995,1.53137079612781e-62,"G2/M","TUBA1B"
"G2E3",2.17203404660647e-66,0.587977802529026,0.48,0.122,3.01326283285716e-62,"G2/M","G2E3"
"LMNB11",2.76963487555996e-66,0.669354959930393,0.665,0.23,3.84231446286433e-62,"G2/M","LMNB1"
"RAN1",2.76373118857816e-65,0.639789123562407,1,0.987,3.83412427791448e-61,"G2/M","RAN"
"REEP4",1.26687924102144e-64,0.499643877490017,0.448,0.105,1.75754157106905e-60,"G2/M","REEP4"
"ANP32E1",6.40703104262209e-64,0.680981622845066,0.696,0.267,8.88847416542962e-60,"G2/M","ANP32E"
"CCNA1",2.93913078014077e-63,0.408072840061139,0.329,0.055,4.0774561312893e-59,"G2/M","CCNA1"
"CENPN2",3.8623254105166e-62,0.75357176261543,0.787,0.347,5.35820404200968e-58,"G2/M","CENPN"
"SPDL11",1.79136699493638e-61,0.621533371197628,0.571,0.18,2.48516343207524e-57,"G2/M","SPDL1"
"RAD211",5.11159724986265e-61,0.758449994968853,0.752,0.348,7.09131886473445e-57,"G2/M","RAD21"
"NCAPD2",2.09351168151062e-60,0.395061034769142,0.367,0.072,2.90432875575969e-56,"G2/M","NCAPD2"
"BUB31",9.70399359673774e-60,0.842948188368433,0.846,0.499,1.34623503167543e-55,"G2/M","BUB3"
"TNFAIP8L1",8.89317559118183e-59,0.30084629743141,0.257,0.034,1.23375024976465e-54,"G2/M","TNFAIP8L1"
"SHCBP11",1.19153618497713e-57,0.454840837456945,0.433,0.106,1.65301814941878e-53,"G2/M","SHCBP1"
"CCNF",2.91840434886106e-56,0.298917987856221,0.232,0.029,4.04870235317495e-52,"G2/M","CCNF"
"CCDC18",4.24633693994417e-56,0.387426193773506,0.335,0.066,5.89094323678454e-52,"G2/M","CCDC18"
"MELK1",1.11862040333192e-55,0.434272028072683,0.458,0.119,1.55186208554237e-51,"G2/M","MELK"
"KIFC11",1.27847090147615e-55,0.420138171015487,0.342,0.068,1.77362268161787e-51,"G2/M","KIFC1"
"CDC25C",1.46108949313607e-54,0.286617805361868,0.232,0.03,2.02696945382767e-50,"G2/M","CDC25C"
"SKA31",3.5649091856019e-54,0.405898172890829,0.42,0.103,4.94559851318552e-50,"G2/M","SKA3"
"KIAA15241",2.91619579316024e-52,0.412742803128497,0.395,0.096,4.0456384238512e-48,"G2/M","KIAA1524"
"SETD8",5.45409365323087e-52,0.360319761789145,0.326,0.066,7.56646412512719e-48,"G2/M","SETD8"
"TMPO1",9.79225338674823e-52,0.54587088761753,0.636,0.242,1.35847931234358e-47,"G2/M","TMPO"
"FOXM1",1.74319425452559e-50,0.360633155892455,0.32,0.065,2.41833338930335e-46,"G2/M","FOXM1"
"CCDC341",3.60655552404177e-49,0.654298262564933,0.74,0.347,5.00337447850315e-45,"G2/M","CCDC34"
"ZWINT1",3.6257602315897e-49,0.595944629886609,0.718,0.3,5.03001716928439e-45,"G2/M","ZWINT"
"RNF26",4.24262147371537e-49,0.454266576688738,0.461,0.139,5.88578877048534e-45,"G2/M","RNF26"
"SPAG5",5.30194324662246e-49,0.299225845702366,0.248,0.039,7.35538586603934e-45,"G2/M","SPAG5"
"TUBB1",1.23675712005726e-48,0.542313549974688,1,0.996,1.71575315265544e-44,"G2/M","TUBB"
"EMC9",3.98597217031376e-48,0.500074170875459,0.53,0.185,5.52973919187628e-44,"G2/M","EMC9"
"APOBEC3B1",4.07566582488657e-48,0.429235602492681,0.408,0.11,5.65417119886514e-44,"G2/M","APOBEC3B"
"SFPQ",4.95910190329903e-47,0.641114347532811,0.787,0.449,6.87976207044675e-43,"G2/M","SFPQ"
"HNRNPA11",2.00854714089443e-46,0.461573936523149,1,0.997,2.78645744856285e-42,"G2/M","HNRNPA1"
"DDX39A1",1.23291690801576e-45,0.551290368614817,0.68,0.304,1.71042562649027e-41,"G2/M","DDX39A"
"KIF5B1",4.06333888247763e-45,0.642867389493337,0.956,0.801,5.63707003166122e-41,"G2/M","KIF5B"
"ARHGAP11B",4.80001419655335e-45,0.292130057176999,0.238,0.04,6.65905969487847e-41,"G2/M","ARHGAP11B"
"SAPCD2",7.74218761771979e-45,0.29467494236836,0.238,0.04,1.07407368820627e-40,"G2/M","SAPCD2"
"NUCKS12",1.01230978815943e-44,0.688986931924662,0.956,0.794,1.40437736911357e-40,"G2/M","NUCKS1"
"CKAP5",1.08325990000603e-43,0.522614879970024,0.577,0.231,1.50280645927837e-39,"G2/M","CKAP5"
"ESCO21",1.98981305685925e-43,0.424185928829055,0.495,0.161,2.76046765378083e-39,"G2/M","ESCO2"
"SMC21",2.76697330962529e-42,0.564424528226972,0.715,0.332,3.83862207244316e-38,"G2/M","SMC2"
"LSM51",1.22922340811677e-41,0.616857772851139,0.878,0.605,1.7053016340804e-37,"G2/M","LSM5"
"SCLT1",1.52941353316668e-41,0.30935774029695,0.307,0.071,2.12175539456213e-37,"G2/M","SCLT1"
"HNRNPA2B11",3.01488086592783e-41,0.507306394743517,1,0.983,4.18254422530167e-37,"G2/M","HNRNPA2B1"
"POC1A1",8.99786288606044e-41,0.326761100081999,0.317,0.077,1.24827351818316e-36,"G2/M","POC1A"
"HNRNPDL1",1.61772691251377e-40,0.603023784784709,0.975,0.869,2.24427254573035e-36,"G2/M","HNRNPDL"
"RBMX",1.92380697047806e-40,0.621753040949648,0.897,0.672,2.66889741014422e-36,"G2/M","RBMX"
"H2AFV2",4.15519759407779e-39,0.54054947556287,0.969,0.826,5.76450562226412e-35,"G2/M","H2AFV"
"ADA",1.34775981832913e-38,0.465153534707493,0.527,0.206,1.869747195968e-34,"G2/M","ADA"
"NUDCD2",1.37282152129699e-37,0.566130279280574,0.752,0.44,1.90451529649531e-33,"G2/M","NUDCD2"
"CDC27",2.69191447536353e-37,0.456394132067516,0.524,0.215,3.73449295167183e-33,"G2/M","CDC27"
"DIAPH31",1.27096174060295e-36,0.326263054268303,0.386,0.117,1.76320522273847e-32,"G2/M","DIAPH3"
"KIF151",3.89937979164703e-36,0.288970839763032,0.26,0.059,5.40960958495192e-32,"G2/M","KIF15"
"BCL2L121",7.72276289290542e-36,0.447346450513307,0.552,0.238,1.07137889613277e-31,"G2/M","BCL2L12"
"CHCHD21",8.12852609175421e-36,0.395842026797642,1,0.996,1.12767042470906e-31,"G2/M","CHCHD2"
"RHNO11",1.16680575423053e-35,0.479266842083212,0.511,0.213,1.61870962284401e-31,"G2/M","RHNO1"
"C21orf58",1.32758645314543e-35,0.2894697832371,0.257,0.059,1.84176068644865e-31,"G2/M","C21orf58"
"NCAPH1",1.47004885866383e-35,0.284991500049588,0.257,0.059,2.03939878162434e-31,"G2/M","NCAPH"
"GOT1",1.90002603075125e-35,0.390550608289138,0.433,0.154,2.63590611246121e-31,"G2/M","GOT1"
"H3F3B1",2.12824654997925e-35,0.387503311394993,0.997,1,2.95251643878622e-31,"G2/M","H3F3B"
"RRM21",2.18259334869001e-34,0.375906209038628,0.63,0.257,3.02791175263766e-30,"G2/M","RRM2"
"CENPK1",9.89250424382014e-34,0.395112370798787,0.498,0.195,1.37238711374517e-29,"G2/M","CENPK"
"CEP70",1.06862041322908e-33,0.274041567979713,0.27,0.067,1.4824970992727e-29,"G2/M","CEP70"
"DEK1",2.49943135499889e-33,0.521304794242733,0.931,0.649,3.46746111878996e-29,"G2/M","DEK"
"HSD17B11",3.03081924267774e-33,0.358671908907662,0.317,0.093,4.20465553536683e-29,"G2/M","HSD17B11"
"GGH2",1.0414081348447e-32,0.579900857045665,0.875,0.66,1.44474550547005e-28,"G2/M","GGH"
"HMGA12",1.20522732221381e-32,0.6524317196673,0.953,0.876,1.67201186410723e-28,"G2/M","HMGA1"
"KIAA01011",3.4247532927681e-32,0.492649054003959,0.884,0.524,4.75116024305719e-28,"G2/M","KIAA0101"
"GPSM21",4.28350147506443e-32,0.463027936817112,0.624,0.308,5.94250159635689e-28,"G2/M","GPSM2"
"HMGN12",1.91178584085854e-31,0.428123965805705,1,0.976,2.65222049702305e-27,"G2/M","HMGN1"
"MIS18A1",4.09517361832699e-31,0.418040473085056,0.53,0.236,5.68123436070503e-27,"G2/M","MIS18A"
"PARPBP",4.19220385019881e-31,0.297903697037355,0.245,0.061,5.81584440138081e-27,"G2/M","PARPBP"
"RTKN21",1.4377737411563e-30,0.401614574521975,0.498,0.212,1.99462351110614e-26,"G2/M","RTKN2"
"NIF3L1",1.75042240066959e-30,0.326457524009213,0.37,0.128,2.42836099644892e-26,"G2/M","NIF3L1"
"KIAA0586",1.98146222544243e-30,0.307350177717852,0.31,0.094,2.74888254535629e-26,"G2/M","KIAA0586"
"NUP35",4.32458099407355e-30,0.323656070632382,0.339,0.112,5.99949121307824e-26,"G2/M","NUP35"
"UBALD2",1.82634621201066e-29,0.251484268232878,0.223,0.053,2.53369009992238e-25,"G2/M","UBALD2"
"RANGAP1",2.68497305852611e-29,0.262885107858939,0.235,0.059,3.72486312409327e-25,"G2/M","RANGAP1"
"MPHOSPH9",6.19502236673327e-29,0.344673466073053,0.373,0.136,8.59435452936907e-25,"G2/M","MPHOSPH9"
"RANBP11",1.60661842730291e-27,0.407423747440814,0.997,0.957,2.22886174419733e-23,"G2/M","RANBP1"
"FBXO51",2.03988683932008e-27,0.391304738591754,0.439,0.181,2.82993501218875e-23,"G2/M","FBXO5"
"CENPM1",4.45323524349129e-27,0.367625033954827,0.524,0.237,6.17797325329547e-23,"G2/M","CENPM"
"RHEB1",2.09245913461811e-26,0.461200999088941,0.934,0.818,2.9028685574557e-22,"G2/M","RHEB"
"CCDC1671",7.33295574204469e-26,0.500662963932616,0.824,0.617,1.01730095009386e-21,"G2/M","CCDC167"
"S100A161",9.15961651958718e-26,0.326883321753321,1,1,1.27071359976233e-21,"G2/M","S100A16"
"VDAC3",9.18746692224943e-26,0.468059704821413,0.868,0.729,1.27457728612366e-21,"G2/M","VDAC3"
"BRD8",1.20979679269268e-25,0.340767883601439,0.408,0.17,1.67835109050256e-21,"G2/M","BRD8"
"SVIP1",1.42797305897797e-25,0.506009286843003,0.991,0.941,1.98102702472013e-21,"G2/M","SVIP"
"CALM31",1.45361957544751e-25,0.484542387255934,0.787,0.535,2.01660643701832e-21,"G2/M","CALM3"
"NUDT11",2.9150367380537e-25,0.402369214959352,0.618,0.332,4.0440304667019e-21,"G2/M","NUDT1"
"LBR",3.27867194602029e-25,0.428175701895297,0.655,0.377,4.54850159071394e-21,"G2/M","LBR"
"PTGES31",3.84001874029496e-25,0.421777892242903,0.959,0.883,5.3272579984112e-21,"G2/M","PTGES3"
"DCP2",5.44672244253223e-25,0.38920325570174,0.461,0.214,7.55623804452497e-21,"G2/M","DCP2"
"CLIC11",8.80808638303917e-25,0.388640784742794,1,0.983,1.22194582391902e-20,"G2/M","CLIC1"
"DCBLD21",1.1937797896631e-24,0.538214671389416,0.922,0.836,1.65613070219962e-20,"G2/M","DCBLD2"
"TMEM138",1.23544059083085e-24,0.305277699350408,0.364,0.142,1.71392673165963e-20,"G2/M","TMEM138"
"PPP1R35",1.40127758104695e-24,0.316642990103313,0.339,0.128,1.94399238818643e-20,"G2/M","PPP1R35"
"ISCA2",1.57963818890481e-24,0.435203489335984,0.687,0.421,2.19143205946764e-20,"G2/M","ISCA2"
"ZWILCH1",1.72744803338229e-24,0.322739945633953,0.429,0.183,2.39648865671125e-20,"G2/M","ZWILCH"
"EXOSC81",2.51693064276125e-24,0.442376165638598,0.687,0.413,3.49173788070268e-20,"G2/M","EXOSC8"
"TRIP131",2.56242830455367e-24,0.273055382637809,0.313,0.11,3.5548567869073e-20,"G2/M","TRIP13"
"CYCS1",2.57461767797353e-24,0.422243610241419,0.953,0.881,3.57176710465268e-20,"G2/M","CYCS"
"ILF21",3.42073134799189e-24,0.462225275119721,0.937,0.791,4.74558059906915e-20,"G2/M","ILF2"
"WHSC11",6.79888922136699e-24,0.316256516860429,0.442,0.195,9.43209901680242e-20,"G2/M","WHSC1"
"DCAF7",1.68750410133773e-23,0.363231500535115,0.483,0.235,2.34107443978584e-19,"G2/M","DCAF7"
"SLC25A51",2.88256313490874e-23,0.427941473231825,0.991,0.906,3.99897983705889e-19,"G2/M","SLC25A5"
"TRIM69",1.43044477881895e-22,0.271199687294962,0.32,0.12,1.98445604165552e-18,"G2/M","TRIM69"
"SRSF31",1.61476171546991e-22,0.407917008445706,0.972,0.891,2.2401589278714e-18,"G2/M","SRSF3"
"H1FX",1.76304814442143e-22,0.286674561946321,0.326,0.124,2.44587669075585e-18,"G2/M","H1FX"
"MORF4L2",2.3752782974626e-22,0.399900070386916,0.962,0.902,3.29522358206986e-18,"G2/M","MORF4L2"
"CENPH1",8.57426683199337e-22,0.314020142429873,0.467,0.22,1.18950803760244e-17,"G2/M","CENPH"
"PLIN3",8.5761313833393e-22,0.412185240922946,0.658,0.41,1.18976670681066e-17,"G2/M","PLIN3"
"ITGB3BP1",1.06988575506188e-21,0.275443170289689,0.313,0.119,1.48425250799735e-17,"G2/M","ITGB3BP"
"UACA",4.12721613035922e-21,0.285095004375126,0.429,0.197,5.72568693764734e-17,"G2/M","UACA"
"CENPU1",4.72364242116647e-21,0.282086433771239,0.439,0.197,6.55310913088425e-17,"G2/M","CENPU"
"ORC61",6.24987973878348e-21,0.292127998359077,0.433,0.196,8.67045816161432e-17,"G2/M","ORC6"
"NUP37",7.72304966699202e-21,0.284761860866751,0.367,0.158,1.0714186803018e-16,"G2/M","NUP37"
"HNRNPH31",8.93480836672583e-21,0.43380029133462,0.715,0.476,1.23952596471587e-16,"G2/M","HNRNPH3"
"MRPL51",1.2769825521669e-20,0.370324599864461,0.969,0.904,1.77155789462114e-16,"G2/M","MRPL51"
"CDK5RAP2",1.29391858191361e-20,0.29470163743883,0.357,0.152,1.79505324868876e-16,"G2/M","CDK5RAP2"
"PRPSAP1",2.49817729101891e-20,0.332211783025885,0.486,0.25,3.46572135583054e-16,"G2/M","PRPSAP1"
"HDGF",3.09151793452406e-20,0.318032314658166,0.458,0.227,4.28886283056523e-16,"G2/M","HDGF"
"LSM61",1.22698566158603e-19,0.390396123723749,0.937,0.765,1.7021972083183e-15,"G2/M","LSM6"
"MLTK",1.29907898018661e-19,0.28517932861814,0.373,0.166,1.80221226921289e-15,"G2/M","MLTK"
"C12orf751",1.30726969636055e-19,0.368788781748812,0.596,0.353,1.81357524976098e-15,"G2/M","C12orf75"
"PTMA2",1.57931571706329e-19,0.312307630761876,1,0.998,2.19098469428191e-15,"G2/M","PTMA"
"VRK11",4.12373711413987e-19,0.288183866925841,0.539,0.281,5.72086049844624e-15,"G2/M","VRK1"
"LRR11",5.18752502716749e-19,0.276374125625417,0.392,0.179,7.19665347018946e-15,"G2/M","LRR1"
"EZH21",8.03355704211739e-19,0.267147460253463,0.348,0.15,1.11449536845295e-14,"G2/M","EZH2"
"SAE11",9.36273055817024e-19,0.326654558028495,0.555,0.314,1.29889161033496e-14,"G2/M","SAE1"
"CDC42EP3",1.21694284269475e-18,0.41332297182537,0.746,0.524,1.68826480567042e-14,"G2/M","CDC42EP3"
"RP11-620J15.3",1.40636722905072e-18,0.292287018921842,0.426,0.211,1.95105325686206e-14,"G2/M","RP11-620J15.3"
"CMC21",2.60895145775918e-18,0.397703403664357,0.727,0.502,3.61939835734931e-14,"G2/M","CMC2"
"NPTX2",4.34492809182536e-18,0.413462484269025,0.483,0.269,6.02771874178932e-14,"G2/M","NPTX2"
"SSNA1",6.2538582640684e-18,0.370321377786784,0.752,0.565,8.67597756974209e-14,"G2/M","SSNA1"
"SPTBN1",8.90084211661623e-18,0.316131006303539,0.545,0.314,1.23481382683817e-13,"G2/M","SPTBN1"
"MZT2B2",1.13248798076439e-17,0.33718790326813,0.978,0.89,1.57110057571444e-13,"G2/M","MZT2B"
"TMEM60",1.3530206717763e-17,0.324401383884013,0.48,0.264,1.87704557795525e-13,"G2/M","TMEM60"
"LSM31",1.60614897277542e-17,0.359726281983194,0.868,0.693,2.22821046993134e-13,"G2/M","LSM3"
"GMNN1",1.91142030107178e-17,0.28717065995626,0.668,0.39,2.65171338367688e-13,"G2/M","GMNN"
"MT2A1",2.37109674713603e-17,0.439720514186836,0.787,0.587,3.28942251730182e-13,"G2/M","MT2A"
"CNIH4",3.19028298122649e-17,0.381907055403391,0.806,0.67,4.42587957985552e-13,"G2/M","CNIH4"
"AIM1",3.78309036369578e-17,0.254333420001382,0.323,0.142,5.24828126155515e-13,"G2/M","AIM1"
"LMNA1",5.23235123363871e-17,0.318542224333545,0.972,0.88,7.25884086642698e-13,"G2/M","LMNA"
"RUVBL2",6.00930321462745e-17,0.342109717560414,0.58,0.365,8.33670634965266e-13,"G2/M","RUVBL2"
"PARP21",1.11690927678782e-16,0.250058212830073,0.339,0.154,1.54948823968774e-12,"G2/M","PARP2"
"PSPC1",1.12806880964523e-16,0.263349128077347,0.339,0.156,1.56496985962083e-12,"G2/M","PSPC1"
"TXNDC12",2.02262857752556e-16,0.311994169563733,0.614,0.376,2.80599262560121e-12,"G2/M","TXNDC12"
"TUBB61",2.07809789251892e-16,0.335729970680704,0.618,0.39,2.88294520629149e-12,"G2/M","TUBB6"
"FOPNL",2.56142688953878e-16,0.306006981306888,0.423,0.225,3.55346752385714e-12,"G2/M","FOPNL"
"HP1BP3",3.61195922214933e-16,0.365441230007152,0.749,0.553,5.01087102888776e-12,"G2/M","HP1BP3"
"MARCKS1",1.24910772032772e-15,0.366825132631421,0.734,0.529,1.73288714041065e-11,"G2/M","MARCKS"
"TMEM106C1",1.67372503903404e-15,0.35599637103541,0.774,0.581,2.32195874665192e-11,"G2/M","TMEM106C"
"TIMM101",1.83201089088244e-15,0.348388164078716,0.564,0.353,2.54154870892121e-11,"G2/M","TIMM10"
"WBP11",2.00454282890013e-15,0.299493299335564,0.53,0.314,2.78090226653315e-11,"G2/M","WBP11"
"RNF5",2.26135245398145e-15,0.363216694475551,0.671,0.468,3.13717425940846e-11,"G2/M","RNF5"
"TUBG11",2.66841277397961e-15,0.337875509209179,0.58,0.368,3.70188904134191e-11,"G2/M","TUBG1"
"AKIRIN2",3.08237539765188e-15,0.295390238727128,0.495,0.292,4.27617938916246e-11,"G2/M","AKIRIN2"
"SNRNP251",3.43818809753397e-15,0.350326166651146,0.708,0.501,4.76979834770887e-11,"G2/M","SNRNP25"
"ANAPC11",3.8849481529643e-15,0.288587333002386,0.994,0.971,5.38958857260738e-11,"G2/M","ANAPC11"
"COX8A1",6.14028098951892e-15,0.271682969717667,0.997,0.978,8.5184118167596e-11,"G2/M","COX8A"
"LDHA1",1.28652110627979e-14,0.283236963678852,0.994,0.975,1.78479073074196e-10,"G2/M","LDHA"
"GLRX51",1.50977014759885e-14,0.333844865972079,0.655,0.465,2.09450412576388e-10,"G2/M","GLRX5"
"BANF1",1.56378262577514e-14,0.298571487723923,0.978,0.92,2.16943563673785e-10,"G2/M","BANF1"
"SNRPB1",2.29832417045306e-14,0.31070345632473,0.893,0.749,3.18846512166953e-10,"G2/M","SNRPB"
"PPP2R5C",3.01512063500338e-14,0.287716365617158,0.373,0.196,4.18287685694018e-10,"G2/M","PPP2R5C"
"RBM8A1",5.04165948096202e-14,0.30660373203188,0.925,0.838,6.99429419793861e-10,"G2/M","RBM8A"
"SNAP23",8.8936344525377e-14,0.263922687027562,0.408,0.225,1.23381390760056e-09,"G2/M","SNAP23"
"HMGN31",1.31494089798583e-13,0.32783285102708,0.893,0.75,1.82421750777574e-09,"G2/M","HMGN3"
"DCXR",1.72887908293538e-13,0.330378554853652,0.721,0.54,2.39847395175625e-09,"G2/M","DCXR"
"RPL39L1",1.91027137246074e-13,0.253469534295201,0.439,0.246,2.65011947501479e-09,"G2/M","RPL39L"
"RSRC1",2.15871309048763e-13,0.300487858353837,0.577,0.375,2.99478267043349e-09,"G2/M","RSRC1"
"NAA38",3.03771627499467e-13,0.298496764574002,0.555,0.364,4.2142237883001e-09,"G2/M","NAA38"
"LSM42",3.32387790605775e-13,0.299493299335563,0.956,0.858,4.61121581907391e-09,"G2/M","LSM4"
"CBX1",3.99732281122569e-13,0.313105348784852,0.696,0.512,5.5454859360134e-09,"G2/M","CBX1"
"SNRPD11",4.04689357785258e-13,0.269530339998224,0.966,0.873,5.61425546055488e-09,"G2/M","SNRPD1"
"TCP11",4.82388021525913e-13,0.294297459740206,0.806,0.623,6.69216902262898e-09,"G2/M","TCP1"
"EIF51",5.80542132337217e-13,0.305030740444176,0.95,0.868,8.05386100191422e-09,"G2/M","EIF5"
"XPO11",6.61062831579783e-13,0.271693473465675,0.492,0.302,9.17092466250633e-09,"G2/M","XPO1"
"MED21",1.05112010553584e-12,0.270760159366358,0.514,0.323,1.45821892240988e-08,"G2/M","MED21"
"PCM1",2.47833632189714e-12,0.250012375673354,0.549,0.348,3.4381959793679e-08,"G2/M","PCM1"
"PSMC31",2.60959996716616e-12,0.315158145667898,0.834,0.726,3.62029803444962e-08,"G2/M","PSMC3"
"TGIF1",3.93278817991523e-12,0.288332079353655,0.542,0.351,5.4559570419964e-08,"G2/M","TGIF1"
"MAP4K4",7.02115498687292e-12,0.284395768099611,0.48,0.305,9.7404483132888e-08,"G2/M","MAP4K4"
"DCTN31",9.97387299431225e-12,0.321525385404321,0.702,0.545,1.38367540050094e-07,"G2/M","DCTN3"
"ODC1",1.17583372188172e-11,0.257195668752116,0.52,0.331,1.63123412236651e-07,"G2/M","ODC1"
"PHLDA12",1.28460951337386e-11,0.303193942741821,0.95,0.948,1.78213877790356e-07,"G2/M","PHLDA1"
"STIP1",1.48685195853082e-11,0.309352908030008,0.583,0.401,2.0627097220698e-07,"G2/M","STIP1"
"SKA2",2.50832959905534e-11,0.264807875112596,0.467,0.29,3.47980565276947e-07,"G2/M","SKA2"
"TPRKB",2.85704219868349e-11,0.258609608214237,0.502,0.323,3.9635746422336e-07,"G2/M","TPRKB"
"PSME21",6.77138034844514e-11,0.29258379492691,0.84,0.714,9.39393595739794e-07,"G2/M","PSME2"
"GSTO1",7.08064479160952e-11,0.26803582968342,0.818,0.692,9.82297851939989e-07,"G2/M","GSTO1"
"CGGBP1",1.22749132842972e-10,0.25216206523037,0.608,0.424,1.70289871993055e-06,"G2/M","CGGBP1"
"AGPAT9",1.26125470953063e-10,0.256614341194292,0.433,0.263,1.74973865853185e-06,"G2/M","AGPAT9"
"CMSS11",1.58239261352795e-10,0.258188836224167,0.48,0.309,2.19525327274733e-06,"G2/M","CMSS1"
"TMEM2371",2.03585764444007e-10,0.284389397231128,0.614,0.448,2.82434531013171e-06,"G2/M","TMEM237"
"KHDRBS11",2.32591762189488e-10,0.292048211921422,0.693,0.55,3.22674551685477e-06,"G2/M","KHDRBS1"
"RAB8A",2.35618951733012e-10,0.261065292917992,0.492,0.328,3.26874171739208e-06,"G2/M","RAB8A"
"HNRNPA31",2.61630220256987e-10,0.264583978929121,0.944,0.891,3.62959604562518e-06,"G2/M","HNRNPA3"
"PGP1",2.78882388826598e-10,0.257582596217929,0.48,0.31,3.8689353801914e-06,"G2/M","PGP"
"POPDC3",4.18358700223324e-10,0.301813004707316,0.708,0.577,5.80389024819818e-06,"G2/M","POPDC3"
"LINC01158",7.37803822587561e-10,0.287325299946239,0.517,0.354,1.02355524307572e-05,"G2/M","LINC01158"
"HMG20B",8.6844947894965e-10,0.255088197980271,0.536,0.373,1.20479996214685e-05,"G2/M","HMG20B"
"CBX3",9.83754745984951e-10,0.291987421749847,0.806,0.742,1.36476295910492e-05,"G2/M","CBX3"
"CCT5",1.01744778659529e-09,0.297331579823344,0.749,0.621,1.41150531434365e-05,"G2/M","CCT5"
"SDF2L1",2.25176765895536e-09,0.256394337082793,0.633,0.457,3.12387727326878e-05,"G2/M","SDF2L1"
"COX171",2.51795074479178e-09,0.2567347605938,0.715,0.598,3.49315306824963e-05,"G2/M","COX17"
"EZR",4.23491234923824e-09,0.25727011360003,0.639,0.467,5.87509390209822e-05,"G2/M","EZR"
"RGS202",4.33482085334652e-09,0.27244889858091,0.52,0.367,6.01369696984763e-05,"G2/M","RGS20"
"SLTM",4.53757540274886e-09,0.285640619389919,0.618,0.47,6.29497835623349e-05,"G2/M","SLTM"
"ITGB1BP11",7.08168140514509e-09,0.255720897306658,0.705,0.545,9.82441661335778e-05,"G2/M","ITGB1BP1"
"EVA1A",1.46622957191043e-08,0.258975301111404,0.379,0.241,0.000203410028511134,"G2/M","EVA1A"
"MRPL52",2.01952822375666e-08,0.291860122916096,0.818,0.737,0.000280169150481762,"G2/M","MRPL52"
"DESI2",8.53406578213866e-08,0.261452169446417,0.596,0.447,0.0011839309459561,"G2/M","DESI2"
"CCNE2",1.44318269048224e-117,0.670017583040718,0.475,0.047,2.00212734650602e-113,"S","CCNE2"
"GINS21",6.10429764898833e-85,1.03200617467792,0.858,0.292,8.46849212844151e-81,"S","GINS2"
"FAM111B",2.30002790141195e-83,0.593829395850457,0.443,0.061,3.19082870762879e-79,"S","FAM111B"
"CLSPN1",2.0875958297672e-81,0.87971637437306,0.712,0.184,2.89612169463604e-77,"S","CLSPN"
"PCNA1",1.98241002620064e-72,1.13283578049746,0.9,0.43,2.75019742934814e-68,"S","PCNA"
"ATAD21",1.97990798233e-63,0.621352406085039,0.562,0.132,2.74672634388642e-59,"S","ATAD2"
"CDC61",1.27356823050158e-61,0.590454773178135,0.457,0.091,1.76682120617484e-57,"S","CDC6"
"MCM31",6.85414326578676e-60,0.652299598622976,0.626,0.178,9.50875295262598e-56,"S","MCM3"
"MCM71",9.81347520258467e-52,0.680357200633026,0.68,0.233,1.36142341485457e-47,"S","MCM7"
"RFC41",2.79983815903367e-49,0.634197018919778,0.584,0.181,3.88421547802741e-45,"S","RFC4"
"CDCA7",9.32279346200678e-49,0.464617599847721,0.365,0.071,1.2933511369842e-44,"S","CDCA7"
