"","Phase","recat"
"817","G2M","M"
"818","S","G1S"
"819","G2M","M"
"820","S","G1S"
"821","G1","G1"
"822","S","G1S"
"823","G2M","G2"
"824","G1","G1"
"825","G1","G1"
"826","G2M","G1"
"827","S","G1S"
"828","G1","G1"
"829","S","G1"
"830","G1","G1"
"831","G1","G1"
"832","G1","G1"
"833","G2M","G2"
"834","G1","G1"
"835","S","G1"
"836","S","G1"
"837","G1","G1"
"838","S","G1S"
"839","G1","G1"
"840","G1","G1"
"841","S","G1S"
"842","G1","G1"
"843","S","G1"
"844","S","S"
"845","G1","G1"
"846","G2M","M"
"847","S","G1"
"848","G2M","G1"
"849","G2M","M"
"850","G2M","M"
"851","G1","G1"
"852","G1","G1"
"853","G1","G1"
"854","G1","G1"
"855","G1","G1"
"856","G1","G1"
"857","S","G1"
"858","G1","G1"
"859","G1","G1"
"860","G2M","M"
"861","G1","G1"
"862","G1","G1"
"863","G1","G1"
"864","G1","G1"
"865","G2M","G2"
"866","G1","G1"
"867","G2M","G2M"
"868","G2M","M"
"869","G1","G1"
"870","G1","G1"
"871","G1","G1"
"872","S","G1"
"873","S","G1"
"874","G2M","M"
"875","G2M","M"
"876","G1","G1"
"877","G1","G1"
"878","S","G1"
"879","G1","G1"
"880","G1","G1"
"881","G2M","M"
"882","G1","G1"
"883","G2M","M"
"884","S","G1"
"885","G1","G1"
"886","G1","G1"
"887","S","G1"
"888","G1","G1"
"889","G1","G1"
"890","G2M","M"
"891","G1","G1"
"892","G1","G1"
"893","G1","G1"
"894","S","G1S"
"895","G2M","M"
"896","G2M","M"
"897","S","G1"
"898","G1","G1"
"899","S","G1"
"900","S","G1"
"901","G1","G1"
"902","G1","G1"
"903","G1","G1"
"904","G1","G1"
"905","S","G1S"
"906","G1","G1"
"907","G1","G1"
"908","G2M","G2M"
"909","G1","G1"
"910","S","G1"
"911","G1","G1"
"912","S","G1S"
"913","S","G1"
"914","G1","G1"
"915","G1","G1"
"916","S","G1S"
"917","G2M","M"
"918","S","G1S"
"919","G2M","M"
"920","G2M","G2"
"921","G2M","M"
