"","x"
"1351","S"
"1352","S"
"1353","G1/G0"
"1354","S"
"1355","G1/G0"
"1356","G1/G0"
"1357","M"
"1358","G1/G0"
"1359","M"
"1360","S"
"1361","G1/G0"
"1362","S"
"1363","S"
"1364","G1/G0"
"1365","G1/G0"
"1366","M"
"1367","G1/G0"
"1368","S"
"1369","G2/M"
"1370","G2/M"
"1371","G1/G0"
"1372","G2/M"
"1373","G1/G0"
"1374","S"
"1375","G1/G0"
"1376","G1/G0"
"1377","G1/G0"
"1378","G2/M"
"1379","G1/G0"
"1380","G2/M"
"1381","G1/G0"
"1382","S"
"1383","G1/G0"
"1384","G2/M"
"1385","G2/M"
"1386","G1/G0"
"1387","G2/M"
"1388","G1/G0"
"1389","G1/G0"
"1390","S"
"1391","G2/M"
"1392","S"
"1393","G2/M"
"1394","G1/G0"
"1395","S"
"1396","S"
"1397","G2/M"
"1398","G2/M"
"1399","G2/M"
"1400","G1/G0"
"1401","G1/G0"
"1402","G2/M"
"1403","G1/G0"
"1404","G1/G0"
"1405","M"
"1406","G1/G0"
"1407","G1/G0"
"1408","G2/M"
"1409","M"
"1410","S"
"1411","G1/G0"
"1412","G1/G0"
"1413","G2/M"
"1414","G1/G0"
"1415","G1/G0"
"1416","G1/G0"
"1417","G1/G0"
"1418","G1/G0"
"1419","S"
"1420","G1/G0"
"1421","S"
"1422","G2/M"
"1423","G2/M"
"1424","G1/G0"
"1425","S"
"1426","S"
"1427","G1/G0"
"1428","G1/G0"
"1429","G2/M"
"1430","G2/M"
"1431","G1/G0"
"1432","G2/M"
"1433","G2/M"
"1434","G1/G0"
"1435","S"
"1436","S"
"1437","M"
"1438","S"
"1439","G1/G0"
"1440","G1/G0"
"1441","S"
"1442","G1/G0"
"1443","S"
"1444","S"
"1445","G1/G0"
"1446","G1/G0"
"1447","S"
"1448","M"
"1449","S"
"1450","S"
"1451","G2/M"
"1452","G1/G0"
"1453","S"
"1454","M"
"1455","G1/G0"
"1456","G1/G0"
"1457","S"
"1458","S"
"1459","G1/G0"
"1460","G2/M"
"1461","M"
"1462","G1/G0"
"1463","S"
"1464","S"
"1465","G1/G0"
"1466","G2/M"
"1467","M"
"1468","S"
"1469","G1/G0"
"1470","G1/G0"
"1471","S"
"1472","G1/G0"
"1473","G2/M"
"1474","G2/M"
"1475","G1/G0"
"1476","G1/G0"
"1477","G1/G0"
"1478","M"
"1479","G1/G0"
"1480","G1/G0"
"1481","S"
"1482","S"
"1483","G1/G0"
"1484","G1/G0"
"1485","S"
"1486","M"
"1487","G2/M"
"1488","G1/G0"
"1489","M"
"1490","G1/G0"
"1491","S"
"1492","S"
"1493","S"
"1494","S"
