"","x"
"684","M"
"685","S"
"686","G1/G0"
"687","G1/G0"
"688","G1/G0"
"689","G1/G0"
"690","G1/G0"
"691","S"
"692","G1/G0"
"693","S"
"694","G1/G0"
"695","G2/M"
"696","G2/M"
"697","G1/G0"
"698","G1/G0"
"699","G2/M"
"700","S"
"701","G1/G0"
"702","S"
"703","G1/G0"
"704","S"
"705","G1/G0"
"706","G1/G0"
"707","G1/G0"
"708","G1/G0"
"709","G1/G0"
"710","G1/G0"
"711","G1/G0"
"712","G1/G0"
"713","G1/G0"
"714","S"
"715","M"
"716","S"
"717","S"
"718","G1/G0"
"719","G1/G0"
"720","G1/G0"
"721","S"
"722","M"
"723","M"
"724","G1/G0"
"725","S"
"726","G1/G0"
"727","G1/G0"
"728","G1/G0"
"729","S"
"730","G2/M"
"731","S"
"732","G1/G0"
"733","S"
"734","S"
"735","G2/M"
"736","G1/G0"
"737","S"
"738","G2/M"
"739","S"
"740","G1/G0"
"741","G1/G0"
"742","S"
"743","G1/G0"
"744","G2/M"
"745","M"
"746","G2/M"
"747","S"
"748","S"
"749","G1/G0"
"750","G1/G0"
"751","S"
"752","G1/G0"
"753","G1/G0"
"754","G2/M"
"755","G2/M"
"756","S"
"757","G1/G0"
"758","G1/G0"
"759","G1/G0"
"760","G2/M"
"761","G1/G0"
"762","S"
"763","G2/M"
"764","G2/M"
"765","S"
"766","M"
"767","G1/G0"
"768","S"
"769","S"
"770","G2/M"
"771","G2/M"
"772","G1/G0"
"773","G1/G0"
"774","S"
"775","G1/G0"
"776","G1/G0"
"777","S"
"778","G2/M"
"779","G1/G0"
"780","G1/G0"
"781","S"
"782","S"
"783","S"
"784","G2/M"
"785","G1/G0"
"786","M"
"787","M"
"788","G1/G0"
"789","G1/G0"
"790","M"
"791","G1/G0"
"792","G1/G0"
"793","S"
"794","S"
"795","G1/G0"
"796","M"
"797","G1/G0"
"798","G1/G0"
"799","G2/M"
"800","G1/G0"
"801","G1/G0"
"802","G1/G0"
"803","G1/G0"
"804","G2/M"
"805","G2/M"
"806","G1/G0"
"807","G1/G0"
"808","G2/M"
"809","S"
"810","G1/G0"
"811","G1/G0"
"812","G1/G0"
"813","G2/M"
"814","S"
"815","G2/M"
"816","G2/M"
"817","S"
"818","G2/M"
"819","S"
"820","G1/G0"
"821","S"
"822","S"
"823","G1/G0"
"824","G2/M"
"825","M"
"826","G1/G0"
"827","G1/G0"
"828","G1/G0"
"829","G1/G0"
"830","G1/G0"
"831","G1/G0"
"832","G1/G0"
"833","G1/G0"
"834","G2/M"
"835","G1/G0"
"836","S"
"837","G1/G0"
"838","G2/M"
"839","G1/G0"
"840","S"
"841","G1/G0"
"842","G1/G0"
"843","S"
"844","G1/G0"
"845","G1/G0"
"846","S"
"847","S"
"848","G2/M"
"849","G2/M"
"850","G2/M"
