"","Phase","recat"
"820","G1","G2M"
"821","S","S"
"822","G2M","M"
"823","S","G1"
"824","G1","G1"
"825","G1","G1"
"826","G1","G1"
"827","G1","G1"
"828","G2M","G2M"
"829","S","G1"
"830","G2M","M"
"831","G2M","M"
"832","G1","G1"
"833","S","G1S"
"834","G2M","G2M"
"835","G1","G1"
"836","G2M","M"
"837","G1","G1"
"838","G1","G1"
"839","G1","G1"
"840","G1","G1"
"841","G1","G1"
"842","G1","G1"
"843","G2M","M"
"844","G1","G1"
"845","G2M","M"
"846","G1","G1"
"847","G1","G1"
"848","G2M","M"
"849","G1","M"
"850","G1","G1"
"851","G1","G1"
"852","S","G1"
"853","G2M","G1"
"854","S","G1"
"855","S","G1"
"856","G1","G1"
"857","G1","G1"
"858","G1","G1"
"859","G1","G1"
"860","G1","G1"
"861","G2M","G2M"
"862","G1","G1"
"863","G2M","G2"
"864","G1","G1"
"865","G1","G1"
"866","G1","G1"
"867","G2M","G1"
"868","G2M","M"
"869","G1","G1"
"870","S","G1"
"871","S","G1"
"872","G1","G1"
"873","G1","G1"
"874","S","G1"
"875","G1","G1"
"876","S","G1S"
"877","G2M","G2M"
"878","S","G1"
"879","G1","G1"
"880","G1","G1"
"881","G1","G1"
"882","S","G1S"
"883","S","G1"
"884","G1","G1"
"885","G1","G1"
"886","G2M","M"
"887","G2M","M"
"888","G1","G1"
"889","G1","G1"
"890","G1","G1"
"891","G1","G1"
"892","G1","G1"
"893","G2M","M"
"894","G1","G1"
"895","G1","G1"
"896","S","G1"
"897","S","G1"
"898","G1","G1"
"899","S","G1"
"900","G1","G1"
"901","G2M","G2"
"902","G2M","M"
"903","G1","G1"
"904","G1","G1"
"905","S","G1"
"906","G1","G1"
"907","S","G1"
"908","G1","G1"
"909","G1","G1"
"910","G2M","G2"
"911","G1","G1"
"912","G2M","G1"
"913","G1","G1"
"914","G1","G1"
"915","G1","G1"
"916","G1","G1"
"917","G1","G1"
"918","S","G1"
"919","G1","G1"
"920","S","G1"
"921","G1","G1"
"922","G1","G1"
"923","G2M","G2M"
"924","G1","G1"
"925","G2M","G1"
"926","G1","G1"
"927","G1","G1"
"928","G1","G1"
"929","G1","G1"
"930","G1","G1"
"931","G1","G1"
"932","G2M","M"
"933","S","G1"
"934","G1","G1"
"935","G1","G1"
"936","G2M","M"
"937","G1","M"
"938","G2M","G1"
"939","G1","G1"
"940","G1","G1"
"941","G1","G1"
"942","G1","G1"
"943","G1","G1"
"944","G1","G1"
"945","G1","G1"
"946","G1","G1"
"947","S","G1S"
"948","G1","G2M"
"949","G1","G1"
"950","G2M","G2M"
"951","G1","G1"
"952","G1","G1"
"953","S","G1"
"954","G1","G1"
"955","G2M","G1"
"956","G1","G1"
"957","G1","G1"
"958","G1","G1"
"959","G1","G1"
"960","G1","G1"
"961","G2M","M"
"962","G1","G1"
"963","S","G1S"
"964","G1","G1"
"965","S","G1"
"966","G1","G1"
"967","S","G1"
"968","G2M","M"
"969","G2M","M"
"970","S","M"
"971","G1","G1"
"972","G1","G1"
"973","G2M","M"
"974","G1","G1"
"975","G2M","G1"
"976","G1","G1"
"977","G1","G1"
"978","G1","G1"
"979","S","G1"
"980","S","G1"
"981","S","G1"
"982","G1","G1"
"983","G1","G1"
"984","G2M","G1"
"985","S","G1"
"986","G1","G1"
"987","G2M","M"
